pos,    defense,    playbook,   play,                   type
pg,     man,        1-4 high,   pg clearout,            iso
pg,     man,        baseline 1, pg post up,             post 
pg,     man,        motion 3,   pg loop,                inside
pg,     man,        motion 4,   pg combo,               pnr 
pg,     zone,       motion 5,   sg stagger,             3pt
pg,     zone,       triangle 5, c-sg flash,             3pt
pg,     zone,       box,        pg dive & curl,         inside 3pt
pg,     zone,       flex 4,     screen drive & dish,    playmaker   
pg,     zone,       motion 5,   pf curl & create,       3pt
pg,     zone,       ucla,       guard around,           3pt
pg,     zone,       princeton,  pick & roll,            3pt
pg,     zone,       triangle 5, pg corner 3,            3pt   
pg,     both,       flex 3,     pg wing iso,            iso

sg,     man,        1-4 high,   sg wing iso,            iso playmaker 
sg,     man,        box,        sg-pf two man,          pnr playmaker
sg,     man,        flex 2,     pg choice,              mr 
sg,     man,        flex 3,     guard pick & fade,      3pt 
sg,     man,        motion 5,   sg stagger,             mr pnr 
sg,     man,        ucla,       sg low post,            inside drive post playmaker
sg,     man,        triangle 3, wing exchange,          3pt 
sg,     zone,       1-4 high,   baseline curl,          3pt 
sg,     zone,       1-4 high,   zip,                    3pt 
sg,     zone,       motion 2,   rollback,               3pt
sg,     zone,       motion 4,   pg combo,               3pt 
sg,     zone,       motion 4,   hawk,                   3pt 
sg,     zone,       4 out post, 24 motion,              3pt 
sg,     zone,       3 out 2 in, quick hit,              3pt
sg,     zone,       triangle 3, c playmaker,            3pt 
sg,     zone,       triangle 7, sg corner 3,            3pt 
sg,     zone,       triangle 5, pg corner 3,            3pt 
sg,     both,       1-4 high,   double cross,           3pt
sg,     both,       box,        cal-wheat,              3pt
sg,     both,       1-4 high,   41,                     3pt
sg,     both,       1-4 stack low, dbl cross,           3pt
sg,     zone,       1-4 stack low, michigan,            3pt
sg,     both,       baseline 1, sg backdoor,            inside drive
sg,     both,       baseline 1, wing pick & roll,       3pt 
sg,     both,       baseline 1, sg wing screen,         drive inside 
sg,     both,       flex 2,     sg pick & pop,          3pt
sg,     both,       flex 3,     guard pick & roll,      drive inside
sg,     both,       motion 2,   sg spotup,              mr 
sg,     zone,       motion 2,   rollback,               3pt
sg,     both,       ucla,       guard around,           drive pnr 3pt
sg,     both,       princeton,  sg option,              iso drive 3pt
sg,     both,       triangle 2, sg post high,           post
sg,     both,       triangle 5, c-sg flash,             3pt inside 
sg,     both,       triangle 6, 3pt reversal,           3pt
sg,     both,       triangle 6, sg triangle post,       post iso drive

sf,     man,        baseline 1, pg-sf pick & roll,      inside
sf,     man,        box,        sf post high,           post iso drive 
sf,     man,        flex 1,     sf iso wing,            iso drive 
sf,     man,        ucla,       sf low post,            post 
sf,     man,        ucla,       pg pick & roll,         inside drive
sf,     man,        ucla,       screen the screener,    mr playmaker
sf,     man,        triangle 4, sf screen iso,          iso drive
sf,     zone,       4 out low,  dribble motion,         3pt
sf,     zone,       triangle 3, wing exchange,          3pt 
sf,     zone,       triangle 8, sg corner pick,         drive playmaker
sf,     both,       box,        sf popout,              3pt
sf,     both,       box,        cal-wheat,              3pt
sf,     both,       motion 1,   sf weakside,            mr 
sf,     both,       motion 4,   sf 3pt wing,            3pt 
sf,     both,       motion 5,   baseline stack,         3pt
sf,     both,       1-4 high,   baseline curl,          mr playmaker
sf,     both,       1-4 high,   41,                     3pt
sf,     both,       flex 1,     sf backdoor cut,        drive inside
sf,     both,       flex 2,     sg pick & pop,          drive playmaker
sf,     both,       motion 5,   pf curl & create,       3pt
sf,     both,       princeton,  pick & roll,            inside drive
sf,     both,       4-out low,  dribble motion,         3pt
sf,     both,       4-out low,  fist,                   3pt
sf,     both,       triangle 6, sf create,              iso drive playmaker

pf,     man,        baseline 1, pf screen post,         post
pf,     man,        baseline 1, pf decision,            post
pf,     man,        flex 2,     pg choice,              mr post
pf,     man,        flex 2,     pg-pf pick & roll,      inside drive
pf,     man,        flex 4,     pf low post,            post 
pf,     zone,       triangle 1, pf high iso,            iso drive playmaker
pf,     both,       1-4 high,   pf pick & post,         inside post
pf,     both,       box,        pf pop clear,           mr iso drive playmaker
pf,     both,       flex 3,     pf post option,         post playmaker
pf,     both,       motion 5,   pf curl & create,       mr drive inside playmaker
pf,     both,       ucla,       guard around,           3pt inside
pf,     both,       4-out low,  flash,                  inside
pf,     both,       triangle 4, pf low post,            post
pf,     both,       triangle 8, pf double screen,       3pt mr
pf,     both,       triangle 8, bigs screen roll,       playmaker drive mr

c,      man,        baseline 2, screen low,             post
c,      man,        box,        pick then post,         post inside drive
c,      man,        flex 3,     pg-c high screen roll,  inside drive
c,      man,        triangle 3, c playmaker,            iso drive playmaker
c,      zone,       triangle 5, c quick post,           post
c,      both,       triangle 3, c low block,            post
c,      both,       1-4 high,   motion clear out,       inside
c,      both,       1-4 stack low, scissors,            post inside
c,      both,       box,        pf pop clear,           inside drive
c,      both,       flex 1,     c dive,                 inside drive
c,      both,       princeton,  post pass out,          playmaker
c,      both,       princeton,  c low post feed,        post
c,      both,       princeton,  triple cutters,         playmaker
c,      both,       princeton,  pick & roll,            inside drive
c,      both,       4-out low,  fist,                   inside drive
c,      both,       triangle 1, triangle post option,   post
